app_name, app_fullname, app_id, platform, scraping_timestamp, app_size, version, last_updated, n_ratings, downloads_bin, average_rating, n_ratings_5, n_ratings_4, n_ratings_3, n_ratings_2, n_ratings_1, average_rating_calculated
Invirto, Invirto - Therapie gegen Angs‪t‬, 1482760714, Apple App Store, 2021-04-05 20:00:20, 98.5 MB, 1.11.1, 2021-03-08, 22, N/A, 3.7, 12, 4, 0, 0, 6, 3.7
Vivira:, Vivira: Rücken, Knie und Hüft‪e‬, 1093858117, Apple App Store, 2021-04-05 20:00:20, 148.3 MB, 2.32.1, 2021-03-18, 254, N/A, 4.6, 206, 15, 13, 10, 10, 4.6
Kalmeda, Kalmeda Tinnitus-Ap‪p‬, 1437379931, Apple App Store, 2021-04-05 20:00:20, 423.9 MB, 1.6.2, 2021-02-18, 35, N/A, 3.2, 18, 0, 2, 2, 13, 3.2
somni‪o‬, somni‪o‬, 1523016446, Apple App Store, 2021-04-05 20:00:20, 8.1 MB, 1.1.6, 2021-03-16, 48, N/A, 4.2, 32, 8, 0, 2, 6, 4.2
zanadi‪o‬, zanadi‪o‬, 1499824614, Apple App Store, 2021-04-05 20:00:20, 54.7 MB, 1.1.3, 2021-04-02, 64, N/A, 4.0, 42, 3, 5, 4, 10, 4.0
Rehapp‪y‬, Rehapp‪y‬, 1357107437, Apple App Store, 2021-04-05 20:00:20, 155.7 MB, 3.2.2, 2020-12-16, 2, N/A, 5.0, 2, 0, 0, 0, 0, 5.0
M-sense, M-sense Migrän‪e‬, 1511739470, Apple App Store, 2021-04-05 20:00:21, 64.3 MB, 1.9.1, 2021-03-31, 35, N/A, 4.4, 29, 0, 0, 2, 4, 4.4
